promoter,terminator,label,site,max_rel_counts,p.value,p.adj
pRPS3,tRPS3,WT,1,0.0013329568442993472,0.36131042852617873,1
pRPS3,tRPS3,mod_HTH,1,0.0922242314647378,1,1
pRPS3,tRPS3,mod_NTN,1,0.06252484358628024,0.845703125,1
pRPS3,tRPS3,mod_NAA,1,0.10269110005835116,1,1
pRPS3,tRPS3,mod_NNN,1,0.08724384230814841,1,1
pRPS3,tRPS3,WT,2,0.09901264125439416,0.6953125,1
pRPS3,tRPS3,mod_HTH,2,0.2965641952983725,0.322265625,1
pRPS3,tRPS3,mod_NTN,2,0.3646706287452529,0.921875,1
pRPS3,tRPS3,mod_NAA,2,0.20238784805735818,0.16015625,1
pRPS3,tRPS3,mod_NNN,2,0.16975101661865655,0.76953125,1
